CEP,lat,lon,Bairro
04279035,-23.548,-46.5725786225,Vila Dom Pedro I
05665020,-23.9770300468,-47.1040026403,Paraisópolis
05716140,-23.1151899497,-46.1638739851,Vila Andrade
01232011,-23.5559200067,-46.636,Santa Cecília
02542000,-23.4642999901,-46.727303222,Sítio do Mandaqui
04459000,-23.8310500296,-46.9447619671,Pedreira
04777001,-23.8669600335,-46.9839339942,Interlagos
05036904,-23.6504200114,-46.636,Água Branca
08246070,-24.0489400578,-47.1824448736,Parada XV de Novembro
02267000,-23.4763343364,-46.5997917774,Vila Gustavo
03153000,-23.6812000196,-46.636,Jardim Ibitirama
04547003,-23.8413100312,-46.3160460247,Vila Olímpia
04070000,-23.314989975,-46.3818236137,Planalto Paulista
05726100,-23.548,-47.1086168866,Vila Andrade
02402700,-23.6193700158,-46.636,Santana
04533040,-23.8391500314,-46.3184022363,Itaim Bibi
02162130,-23.5841800113,-46.5965334383,Vila Sabrina
01141000,-23.5425999956,-46.6418905346,Várzea da Barra Funda
04276000,-23.2899699665,-46.9174691835,Vila Dom Pedro I
03689020,-23.3549499781,-46.636,Jardim Olympia
05025020,-23.1837699625,-47.0333162731,Vila Pompéia
04520000,-23.8378900329,-46.636,Vila Uberabinha
04131080,-23.3079699693,-46.636,Vila Gumercindo
05005001,-23.1852999602,-47.0316472921,Perdizes
05794300,-23.9911600517,-46.1525838015,Jardim Paris
02812290,-23.548,-46.7443857652,Jardim Paulistano (Zona Norte)
02996040,-23.6687800168,-46.5042484661,Parque Nações Unidas
03086025,-23.420469979,-46.7751147007,Parque São Jorge
03071080,-23.6747200183,-46.4977688817,Tatuapé
01258010,-23.5372899925,-46.636,Sumaré
01154020,-23.5539400054,-46.6295204114,Barra Funda
01257000,-23.558440003,-46.6473883609,Sumaré
05724005,-23.548,-46.1634812871,Vila Andrade
05596100,-23.548,-46.1751641715,Jardim Pinheiros
03167010,-23.548,-46.4888349115,Mooca
05125010,-23.9218600446,-46.2281789412,Parque São Domingos
04417000,-23.8250200305,-46.9381842099,Jardim Miriam
05784150,-23.1068199555,-46.1547436702,Parque Esmeralda
03918010,-23.548,-46.8662215702,Vila Bancária
04177210,-23.7947800307,-46.9051972434,Jardim Clímax
03316000,-23.6994700206,-46.4707706178,Tatuapé
08060340,-24.0204100551,-46.636,Vila Jacuí
03189210,-23.685700018,-46.4857914715,Vila Oratório
08150590,-23.0602899427,-46.636,Jardim Nazareth
03550010,-23.3733999759,-46.4455395116,Cidade Patriarca
03651060,-23.3597199743,-46.8413831656,Vila Esperança
01522000,-23.5273899938,-46.6584821954,Cambuci
03040901,-23.548,-46.6758592573,Brás
03407050,-23.548,-46.8133049708,Chácara Califórnia
04469000,-23.2632399709,-46.636,Vila dos Andradas
02802000,-23.548,-46.5295777503,Vila Primavera
02964120,-23.548,-46.5100408212,Vila Iório
04555020,-23.842390034,-46.636,Brooklin Paulista
04324050,-23.2834899658,-46.636,Vila do Encontro
08310390,-24.0576700516,-46.636,Jardim Rodolfo Pirani
02017011,-23.5725700072,-46.636,Santana
05777001,-23.548,-47.1154891738,Vila Prel
02245000,-23.596060009,-46.636,Parada Inglesa
04080901,-23.5984000061,-46.6909782844,Indianópolis
02309080,-23.4909399907,-46.6982432746,Vila Mazzei
01135000,-23.548,-46.6307966943,Barra Funda
04707020,-23.8582300365,-46.636,Jardim das Acácias
08412000,-23.0261799449,-47.2052215857,Guaianazes
01526000,-23.548,-46.6587767193,Aclimação
01435001,-23.5313499962,-46.6178375291,Jardim Paulista
02618000,-23.6370100115,-46.636,Vila Amália (Zona Norte)
04026040,-23.7765100232,-46.3867323904,Vila Clementino
04064001,-23.3157099697,-46.636,Planalto Paulista
01330010,-23.5615900076,-46.6211754918,Bela Vista
05132000,-23.9225800406,-46.636,Vila Mangalot
08111150,-23.0682999463,-46.112724548,Jardim das Oliveiras
01316030,-23.5604200068,-46.636,Bela Vista
01324000,-23.5611400075,-46.6503336306,Bela Vista
02255000,-23.4980499885,-46.6904874128,Vila Nivi
02301100,-23.4921999855,-46.6968688233,Vila Paulicéia
03319000,-23.6999200187,-46.8017202576,Vila Gomes Cardim
03430003,-23.7127000185,-46.4563388222,Vila Carrão
03178190,-23.4117399836,-46.7846377188,Alto da Mooca
03678000,-23.3564799777,-46.4270825202,Vila São Francisco (Zona Leste)
03416000,-23.7117100212,-46.8145812502,Vila Formosa
03173010,-23.6834500141,-46.636,Belenzinho
03317001,-23.3963499821,-46.636,Vila Gomes Cardim
08295030,-23.0394099426,-47.1907897903,Vila Carmosina
08030590,-23.0818899453,-46.636,Vila Nova Curuçá
01419101,-23.5633900095,-46.636,Cerqueira César
03043050,-23.6727400159,-46.636,Brás
04138002,-23.7887500322,-46.8986194868,Saúde
05011001,-23.1847599551,-46.2397636493,Perdizes
03707015,-23.548,-46.5892684573,Vila Santo Henrique
04366900,-23.6075800075,-46.5710078135,Jardim Prudência
03646000,-23.3600799803,-46.636,Vila Esperança
03374001,-23.389779982,-46.636,Sapopemba
03737000,-23.348019975,-46.4178540207,Vila Buenos Aires
08210490,-23.548,-46.0984891004,Itaquera
03205000,-23.4089499819,-46.484318839,Vila Alpina
05379220,-23.9471500399,-46.2005916319,Rio Pequeno
05888060,-23.0875599532,-46.636,Parque Fernanda
05344030,-23.548,-47.0661068919,Jaguaré
01435040,-23.5646500061,-46.6541624734,Jardim Paulista
05440000,-23.1420099542,-46.636,Sumarezinho
05036040,-23.548,-47.034396211,Água Branca
05089070,-23.548,-47.0396976881,Vila Leopoldina
08295510,-23.0388699428,-47.191378843,Itaquera
05716110,-23.548,-47.1080278392,Vila Andrade
05586000,-23.1271599515,-46.176931328,Vila Indiana
05144090,-23.5002618,-46.7174978,Jardim Íris
05781250,-23.1075399486,-47.1164709333,Jardim São Januário
04205907,-23.6034400059,-46.636,Ipiranga
03077090,-23.6751700183,-46.4972780042,Tatuapé
02041040,-23.548,-46.6067436918,Jardim São Paulo(Zona Norte)
01134902,-23.543229997,-46.6307966954,Barra Funda
03133200,-23.6793100195,-46.4927619301,Vila Prudente
01141030,-23.548,-46.6300112857,Várzea da Barra Funda
05502010,-23.548,-47.0828949042,Butantã
03656080,-23.7369100269,-46.8420703954,Vila Ré
03881100,-23.755900024,-46.8627854218,Vila Ponte Rasa
01331020,-23.5616800069,-46.6509226829,Bela Vista
05458901,-23.548,-46.7600938425,Alto de Pinheiros
04517900,-23.6140600104,-46.636,Indianópolis
03186020,-23.4106599821,-46.636,Vila Bertioga
04119060,-23.6008585726,-46.6349700317,Vila Mariana
05847500,-23.9974600509,-46.636,Jardim Iracema
05717270,-23.548,-47.1082241863,Vila Andrade
05718310,-23.548,-46.1636776359,Vila Andrade
05716120,-23.1152799536,-47.1080278351,Vila Andrade
05866000,-23.0942199508,-46.1409990957,Capão Redondo
05709030,-23.9800900458,-46.636,Vila Suzana
04675085,-23.6691734,-46.6956854,Jardim Taquaral
05716150,-23.548,-46.1638739923,Vila Andrade
05727160,-23.9813500506,-46.636,Vila Andrade
05615190,-23.5887525,-46.716205,Vila Progredior
04747901,-23.548,-46.9799088062,Santo Amaro
04726160,-23.2352499651,-46.2948401134,Vila Cruzeiro
04679110,-23.548,-46.9721529326,Jardim dos Prados
01307000,-23.548,-46.6236298796,Consolação
05634001,-23.548,-46.1709426267,Jardim Monte Kemel
01423001,-23.5636600051,-46.6530825418,Jardim Paulista
08290705,-23.548,-47.1906916158,Vila Carmosina
08290001,-23.0403999461,-47.189709856,Itaquera
01513000,-23.5569849,-46.6319879,Liberdade
01504001,-23.5675300061,-46.6573040893,Liberdade
04815220,-23.8731700339,-46.9907081039,Interlagos
04313210,-23.548,-46.9224761285,Vila Guarani (Z Sul)
05051030,-23.1812499605,-46.2359348109,Vila Romana
08440180,-24.0740500537,-46.636,Guaianazes
04446100,-23.548,-46.9432893371,Jardim Sabará
04822230,-23.548,-46.991984389,Parque América
04021051,-23.3200299766,-46.8846785568,Vila Clementino
05033070,-23.548,-47.0341998539,Água Branca
03655020,-23.548,-46.841874038,Vila Granada
02138050,-23.5133499948,-46.5982024283,Vila Sabrina
04149100,-23.548,-46.9001902893,Jardim da Saúde
03542050,-23.3742999807,-46.8254787283,Vila Guilhermina
05401150,-23.9494900418,-47.0739609331,Cerqueira César
05132150,-23.9226700418,-46.2272953647,Vila Mangalot
04575000,-23.2511799622,-46.3122171731,Cidade Monções
04776000,-23.2292199672,-46.636,Socorro
01032000,-23.54109,-46.6356456,Centro
05424150,-23.1436299548,-46.636,Pinheiros
05862200,-23.094939946,-46.1417844945,Jardim Lídia
01228000,-23.5403499917,-46.6443449262,Santa Cecília
04705070,-23.8581400391,-46.9743128017,Vila Gertrudes
03159070,-23.4140799832,-46.4899148436,Vila Santa Clara
05422011,-23.144169953,-46.1954864983,Pinheiros
01455080,-23.548,-46.6151867889,Jardim Europa
04129050,-23.3082399758,-46.636,Vila Gumercindo
08461650,-24.079000059,-46.636,Jardim São Paulo(Zona Leste)
05131901,-23.4426999891,-46.636,Jardim Mangalot
04116090,-23.785330029,-46.3771111855,Jardim Vila Mariana
03641040,-23.3606199786,-46.431598594,Penha de França
01322000,-23.548,-46.6500391046,Bela Vista
05172180,-23.9276200382,-47.0501042836,Vila Pirituba
05351080,-23.1532599522,-47.0665977774,Cidade São Francisco
03662000,-23.3583699762,-46.842855796,Vila Ré
03513040,-23.548,-46.4491720034,Vila Matilde
04755050,-23.6465555,-46.7122694,Santo Amaro
05027020,-23.548,-47.0335126278,Vila Anglo Brasileira
04015012,-23.7750700283,-46.8836968072,Vila Mariana
03982170,-23.7712900227,-46.8795734303,Parque Santa Madalena
04116060,-23.3106699708,-46.636,Jardim Vila Mariana
04531908,-23.548,-46.5619756656,Itaim Bibi
04310070,-23.2860099693,-46.3502110977,Vila Guarani (Z Sul)
